BB,1479810058
DD,1479748810
EE,1479789921
FF,1479803362
GG,1479829992
DD,1479813381
CC,1479754035
AA,1479746130
DD,1479773380
AA,1479832353
CC,1479738539
BB,1479786315
FF,1479829958
EE,1479778854
EE,1479779406
AA,1479813608
FF,1479783914
DD,1479827866
AA,1479786724
AA,1479751618
FF,1479818189
CC,1479733753
AA,1479794121
CC,1479755897
AA,1479773884
DD,1479742284
EE,1479765356
FF,1479819638
BB,1479809494
GG,1479780338
GG,1479813719
FF,1479795326
DD,1479800709
BB,1479792653
AA,1479746326
DD,1479774452
AA,1479757210
BB,1479809827
GG,1479777895
EE,1479744350
CC,1479831911
DD,1479795302
DD,1479800034
DD,1479782636
GG,1479750368
GG,1479817652
GG,1479776902
DD,1479770539
GG,1479768702
GG,1479790093
FF,1479780134
DD,1479762596
DD,1479827152
BB,1479820716
GG,1479751786
EE,1479766561
EE,1479785744
GG,1479820357
EE,1479773839
CC,1479773579
CC,1479740434
BB,1479768089
DD,1479766261
CC,1479818563
CC,1479798091
FF,1479810039
AA,1479745313
BB,1479805195
FF,1479807587
DD,1479800575
AA,1479805434
GG,1479811200
CC,1479756373
BB,1479737534
AA,1479781418
FF,1479782223
AA,1479743417
BB,1479761381
AA,1479745832
EE,1479810589
BB,1479756763
DD,1479806414
DD,1479827571
GG,1479782247
EE,1479793538
EE,1479827528
DD,1479757531
DD,1479746246
GG,1479817506
EE,1479799568
BB,1479785990
BB,1479765048
CC,1479786714
CC,1479735342
DD,1479743294
CC,1479796270
GG,1479814610
GG,1479781765
DD,1479831823
